name;price;special;model;articul;marka;category1;category2;category3;category4;foto1;ostatok;text;keyword;description;tags;visibility;minimum;vklike;vkshare;fblike;google;mymir;oklike;twitter;delivery;video;Вид товара;Комплектация;Материал;Механизм;Тип ремешка;Цвет;Цвет ремешка;Цвет циферблата;Материал циферблата;Материал ремешка;foto2;foto3;foto4;foto5;foto6;foto7
Eleven's  Diamonds 2;2730;;Diamonds;;Eleven's Heaven;Часы Eleven's;;;;;;"<p>Часы от Eleven's Heaven&nbsp;<br />Часы кварцевые. Материал: металл, натуральная кожа.&nbsp;<br />Комплектация: Часы, коробочка, мешочек. Гарантия.&nbsp;<br />Есть другие цвета ремешков.Можно заказать для примерки несколько часов.</p>";11's, 11's Heaven, Eleven's, Eleven's Heaven, Eleven's Heaven Creative Studio, eleven's часы, eleven;11's, 11's Heaven, Eleven's, Eleven's Heaven, Eleven's Heaven Creative Studio, eleven's часы, elevens watch, hand made, hand made  часы, ремешки из кожи;1375870,885;1;1;5;5;5;5;5;5;5;Доставка;Видео;Наручные часы;часы, коробочка, мешочек, гарантия;;Часы кварцевые;Гладкий 2;;Purple;Черный;металл;натуральная кожа;;;;;;
Eleven's  Diamonds 3;2730;;Diamonds;;Eleven's Heaven;Часы Eleven's;;;;;;"<p>Часы от Eleven's Heaven&nbsp;<br />Часы кварцевые. Материал: металл, натуральная кожа.&nbsp;<br />Комплектация: Часы, коробочка, мешочек. Гарантия. <br />Есть другие цвета ремешков.Можно заказать для примерки несколько часов.</p>";11's, 11's Heaven, Eleven's, Eleven's Heaven, Eleven's Heaven Creative Studio, eleven's часы, eleven;11's, 11's Heaven, Eleven's, Eleven's Heaven, Eleven's Heaven Creative Studio, eleven's часы, elevens watch, hand made, hand made  часы, ремешки из кожи;502739,490762,465756;1;1;5;5;5;5;5;5;5;Доставка;Видео;Наручные часы;часы, коробочка, мешочек, гарантия;;Часы кварцевые;Гладкий 2;;Purple;Черный;металл;натуральная кожа;;;;;;
Eleven's  Diamonds 4;2730;;Diamonds;;Eleven's Heaven;Часы Eleven's;;;;;;<p>Часики от Eleven's Heaven В наличии в Москве! Четыре варианта ремешков.<br />Часы кварцевые, механизм японский. Материал: металл, натуральная кожа. Оригинальная батарейка Renata (Швейцария).<br />Комплектация: Часы, коробочка, мешочек. Гарантия. <br />Есть другие цвета ремешков.Можно заказать для примерки несколько часов.</p>;11's, 11's Heaven, Eleven's, Eleven's Heaven, Eleven's Heaven Creative Studio, eleven's часы, eleven;11's, 11's Heaven, Eleven's, Eleven's Heaven, Eleven's Heaven Creative Studio, eleven's часы, elevens watch, hand made, hand made  часы, ремешки из кожи;;1;1;5;5;5;5;5;5;5;Доставка;Видео;Наручные часы;часы, коробочка, мешочек, гарантия;;Часы кварцевые;Прошитый 1;;Purple;Белый;металл;натуральная кожа;;;;;;
Eleven's Big 3 numbers Purple;2990;;Big numbers;;Eleven's Heaven;Часы Eleven's;;;;;;"<p>Часики от Eleven's Heaven В наличии в Москве!</p>
<p style=""vertical-align: baseline;"">Можно заказать для примерки&nbsp;<span style=""vertical-align: baseline; font-weight: bolder; font-style: inherit;"">несколько часов на выбор!</span></p>
<p style=""vertical-align: baseline;"">И приобрести сменные ремешки отдельно. В наличии имеются&nbsp;<a style=""vertical-align: baseline; font-weight: inherit; font-style: inherit;"" href=""data/hmw/products/704274"" target=""_blank"">ремешки гладкие</a>&nbsp;и&nbsp;<a style=""vertical-align: baseline; font-weight: inherit; font-style: inherit;"" href=""data/hmw/products/704366"" target=""_blank"">ремешки прошитые</a>.&nbsp;</p>";часы ручной работы elevens heaven;часы ручной работы elevens heaven;8013640,704;1;1;5;5;5;5;5;5;5;Доставка;Видео;Наручные часы;часы, коробочка, мешочек, гарантия;;Часы кварцевые;Гладкий 2;;Purple;Черный;металл;натуральная кожа;;;;;;
Eleven's Big numbers 3 Black;2990;;Big numbers;;Eleven's Heaven;Часы Eleven's;;;;data/hmw/static/img/0000/0000/8447/8447216.774eg2w8xh.JPG;;"<p>Несимметричность и разный размер цифр очень креативно смотрятся и притягивают взгляд, придавая особый шарм. Широкий выбор дополнительных ремешков позволит сочетать часы с&nbsp;выбранным стилем и цветом одежды, сумочки и других аксессуаров!</p><p><br />Характеристики:</p><p>Часы кварцевые, унисекс, для любого возраста.</p>
<p>Материал: металл, натуральная кожа (хорошего качества).<br /></p>
<p>Дизайн: Eleven's Heaven Studio, Корея.</p>
<p>Производство: Гонконг (заводское качество), механизм японский.</p>
<p>Комплектация: часы со вставленной батарейкой, оригинальная коробочка и фирменный мешочек.</p>
<p>100%-ная гарантия возврата денег, если что-то не устроит.</p>
<p>Возможность выбора сменных ремешков разных цветов.</p>
<p><br /></p>";11's, 11's Heaven, Eleven's,  elevens часы, eleven;Eleven's Heaven, Eleven's Heaven Creative Studio, eleven's часы, eleven;704274,704366,1375870;1;1;5;5;5;5;5;5;5;Доставка;Видео;Наручные часы;часы, коробочка, мешочек, гарантия;;Часы кварцевые;Гладкий 1;;Black;Черный;металл;натуральная кожа;data/hmw/static/img/0000/0000/8447/8447230.9ng2j2s2qi.JPG;data/hmw/static/img/0000/0000/8447/8447232.q9jstroxy3.JPG;data/hmw/static/img/0000/0000/8447/8447234.s4jsc5cmaz.JPG;;;
Eleven's Big numbers 3 Light brown;2990;;Big numbers;;Eleven's Heaven;Часы Eleven's;;;;;;"<p style=""vertical-align: baseline;"">Часы от Eleven's Heaven.</p>
<p style=""vertical-align: baseline;"">Часики будут нежно облегать вашу руку, будут незаметно лёгкими и заметно притягательными для взгляда.</p>
<p style=""vertical-align: baseline;""><span style=""vertical-align: baseline; font-weight: bolder; font-style: inherit;"">Можно заказать для примерки&nbsp;<span style=""vertical-align: baseline; font-style: inherit;"">несколько часов на выбор!</span></span></p>
<p style=""vertical-align: baseline;"">И приобрести сменные ремешки отдельно. В наличии имеются&nbsp;<a style=""vertical-align: baseline; font-style: inherit;"" href=""data/hmw/products/704274"" target=""_blank"">ремешки гладкие</a>&nbsp;и&nbsp;<a style=""vertical-align: baseline; font-style: inherit;"" href=""data/hmw/products/704366"" target=""_blank"">ремешки прошитые</a>.&nbsp;</p>";необычные часы, handmade часы, eleven's часы, eleven;необычные часы, handmade часы, eleven's часы, eleven;1375855;1;1;5;5;5;5;5;5;5;Доставка;Видео;Наручные часы;часы, коробочка, мешочек, гарантия;;Часы кварцевые;Гладкий 2;;Light brown;Черный;металл;натуральная кожа;;;;;;
Eleven's Big numbers 3 Mix;2990;;Big numbers;;Eleven's Heaven;Часы Eleven's;;;;;;"<p>Часики от Eleven's Heaven В наличии в Москве!<br />Часы кварцевые. Материал: металл, натуральная кожа.&nbsp;</p><p>Комплектация: Часы, коробочка, мешочек. Гарантия.&nbsp;<br />Есть другие цвета ремешков.Можно заказать для примерки несколько часов на выбор.</p>";11's, 11's Heaven, Eleven's, Eleven's Heaven, Eleven's Heaven Creative Studio, eleven's часы, eleven;11's, 11's Heaven, Eleven's, Eleven's Heaven, Eleven's Heaven Creative Studio, eleven's часы, eleven;704274,704366,502728;1;1;5;5;5;5;5;5;5;Доставка;Видео;Наручные часы;часы, коробочка, мешочек, гарантия;;Часы кварцевые;Гладкий 2;;Mix;Черный;металл;натуральная кожа;;;;;;
Eleven's Big numbers 3 Orange;2990;;Big numbers;;Eleven's Heaven;Часы Eleven's;;;;data/hmw/static/img/0000/0000/8447/8447245.hixu0qu3c1.JPG;;"<p style=""vertical-align: baseline; text-align: center;"">Сменные ремешки для часов от Eleven&rsquo;s (11&rsquo;s Heaven).</p><p style=""vertical-align: baseline;"">Не хотите расставаться с любимыми часами Eleven&rsquo;s, когда они не подходят под одежду (сумочку, туфли) или&nbsp; настроение. Меняйте на часах&nbsp;<a style=""vertical-align: baseline; font-style: inherit;"" href=""data/hmw/products/category/82934"">ремешки</a>&nbsp;под свой стиль. У нас большой выбор и мы можем привезти ремешки на ваш искушённый выбор.</p>";Eleven's, Eleven's Heaven, Eleven's Heaven Creative Studio, необычные часы;11's, 11's Heaven, Eleven's, Eleven's Heaven Creative Studio, eleven's часы, eleven;704274,7044;1;1;5;5;5;5;5;5;5;Доставка;Видео;Наручные часы;часы, коробочка, мешочек, гарантия;;Часы кварцевые;Гладкий 1;;Оrange;Черный;металл;натуральная кожа;data/hmw/static/img/0000/0000/8447/8447257.55zo808poi.JPG;data/hmw/static/img/0000/0000/8447/8447259.d7tgsuvwy7.JPG;data/hmw/static/img/0000/0000/8447/8447260.m473lakicl.JPG;data/hmw/static/img/0000/0000/8447/8447264.qvj9604px5.jpg;;
Eleven's Big numbers 3 Red;2990;;Big numbers;;Eleven's Heaven;Часы Eleven's;;;;;;"<p>Часики от Eleven's Heaven В наличии в Москве!<br />Часы кварцевые. Материал: металл, натуральная кожа.&nbsp;<br />Есть другие цвета ремешков.Можно заказать для примерки несколько часов на выбор.</p>";11's, 11's Heaven, Eleven's, Eleven's Heaven, Eleven's Heaven Creative Studio, eleven's часы, eleven;11's, 11's Heaven, Eleven's, Eleven's Heaven, Eleven's Heaven Creative Studio, eleven's часы, elevens watch, hand made, hand made  часы, ремешки из кожи;704274,704366,490725;1;1;5;5;5;5;5;5;5;Доставка;Видео;Наручные часы;часы, коробочка, мешочек, гарантия;;Часы кварцевые;Гладкий 2;;Red;Черный;металл;натуральная кожа;;;;;;
Eleven's Big numbers 3 Red 2;2990;;Big numbers;;Eleven's Heaven;Часы Eleven's;;;;;;"<p>Часы Eleven's Heaven В наличии в Москве!</p>
<p style=""vertical-align: baseline;"">Можно заказать для примерки&nbsp;<span style=""vertical-align: baseline; font-weight: bolder; font-style: inherit;"">несколько часов на выбор!</span></p>
<p style=""vertical-align: baseline;"">И приобрести сменные ремешки отдельно. В наличии имеются&nbsp;<a style=""vertical-align: baseline; font-weight: inherit; font-style: inherit;"" href=""data/hmw/products/704274"" target=""_blank"">ремешки гладкие</a>&nbsp;и&nbsp;<a style=""vertical-align: baseline; font-weight: inherit; font-style: inherit;"" href=""data/hmw/products/704366"" target=""_blank"">ремешки прошитые</a>.&nbsp;</p>";Часы Eleven's Heaven В наличии в Москве!;Часы Eleven's Heaven В наличии в Москве!;704274,4908;1;1;5;5;5;5;5;5;5;Доставка;Видео;Наручные часы;часы, коробочка, мешочек, гарантия;;Часы кварцевые;Гладкий 2;;Red;Черный;металл;натуральная кожа;;;;;;
